# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,YBXUZANQVN,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
1.134970000000000034e+00, -3.190531037857238239e-01, -8.930471910422510540e-01, 1.000000000000000000e+00, 1.250000000000000000e+00
1.134970000000000034e+00, -5.797138700317546745e-01, -6.968758427793360077e-01, 1.000000000000000000e+00, 1.500000000000000000e+00
1.134970000000000034e+00, -7.555177012619078702e-01, -4.060165731267529887e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
1.134970000000000034e+00, -8.199999999999998401e-01, -4.999999999999999584e-02, 1.000000000000000000e+00, 2.000000000000000000e+00
1.134970000000000034e+00, -7.555177012619078702e-01, 3.060165731267528999e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
1.134970000000000034e+00, -5.797138700317545634e-01, 5.968758427793358079e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
1.134970000000000034e+00, -3.190531037857238794e-01, 7.930471910422509652e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
1.134970000000000034e+00, 3.286920438420882340e-32, 8.649999999999998801e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.134970000000000034e+00, 3.190531037857237129e-01, 7.930471910422509652e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
1.134970000000000256e+00, 5.797138700317544524e-01, 5.968758427793359189e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
1.134970000000000034e+00, 7.555177012619078702e-01, 3.060165731267528444e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
1.134969999999999812e+00, 8.199999999999998401e-01, -5.000000000000000971e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
1.452558379719699033e+00, 9.426021769854502352e-01, -2.504000000000001364e-02, 1.199999999999999956e+00, 0.000000000000000000e+00
1.452717471330200460e+00, 8.708009797751345982e-01, -4.414880632732137711e-01, 1.199999999999999956e+00, 2.500000000000000000e-01
1.445346256438170718e+00, 6.779119669605795373e-01, -7.866569940480915291e-01, 1.199999999999999956e+00, 5.000000000000000000e-01
1.435587801161658073e+00, 3.761570021747729919e-01, -1.032525066410803438e+00, 1.199999999999999956e+00, 7.500000000000000000e-01
1.430625360124875289e+00, -3.153033389935444910e-17, -1.127308665454941572e+00, 1.199999999999999956e+00, 1.000000000000000000e+00
1.435587801161658295e+00, -3.761570021747729919e-01, -1.032525066410803438e+00, 1.199999999999999956e+00, 1.250000000000000000e+00
1.445346256438170940e+00, -6.779119669605795373e-01, -7.866569940480915291e-01, 1.199999999999999956e+00, 1.500000000000000000e+00
1.452717471330200683e+00, -8.708009797751345982e-01, -4.414880632732138821e-01, 1.199999999999999956e+00, 1.750000000000000000e+00
1.452558379719699033e+00, -9.426021769854502352e-01, -2.504000000000004139e-02, 1.199999999999999956e+00, 2.000000000000000000e+00
1.441574715211194846e+00, -8.873685181428102586e-01, 3.995254502705622435e-01, 1.199999999999999956e+00, 2.250000000000000000e+00
1.421827221793365403e+00, -7.020102045862894879e-01, 7.606752316738013553e-01, 1.199999999999999956e+00, 2.500000000000000000e+00
1.398959222202927455e+00, -3.927245405424486524e-01, 1.019395153388532593e+00, 1.199999999999999956e+00, 2.750000000000000000e+00
1.387589343784616736e+00, -8.852886525929668194e-17, 1.119167138153676744e+00, 1.199999999999999956e+00, 3.000000000000000000e+00
1.398959222202927233e+00, 3.927245405424483193e-01, 1.019395153388532593e+00, 1.199999999999999956e+00, 3.250000000000000000e+00
1.421827221793365403e+00, 7.020102045862892659e-01, 7.606752316738014663e-01, 1.199999999999999956e+00, 3.500000000000000000e+00
1.441574715211194846e+00, 8.873685181428101476e-01, 3.995254502705621880e-01, 1.199999999999999956e+00, 3.750000000000000000e+00
1.452558379719698811e+00, 9.426021769854502352e-01, -2.504000000000001364e-02, 1.199999999999999956e+00, 4.000000000000000000e+00
1.850136952439028981e+00, 1.072518845686514899e+00, 3.447999999999997595e-02, 1.399999999999999911e+00, 0.000000000000000000e+00
1.850043400883115918e+00, 9.921234855832214983e-01, -4.558289697198705248e-01, 1.399999999999999911e+00, 2.500000000000000000e-01
1.841193895929073676e+00, 7.742683858736139069e-01, -8.629422348486526229e-01, 1.399999999999999911e+00, 5.000000000000000000e-01
1.829729873806642759e+00, 4.304297450559457783e-01, -1.154481159764516818e+00, 1.399999999999999911e+00, 7.500000000000000000e-01
1.823945726286688274e+00, -1.465494392505207627e-17, -1.267380196172694484e+00, 1.399999999999999911e+00, 1.000000000000000000e+00
1.829729873806642759e+00, -4.304297450559458893e-01, -1.154481159764516818e+00, 1.399999999999999911e+00, 1.250000000000000000e+00
1.841193895929074120e+00, -7.742683858736141289e-01, -8.629422348486526229e-01, 1.399999999999999911e+00, 1.500000000000000000e+00
1.850043400883115918e+00, -9.921234855832212762e-01, -4.558289697198705248e-01, 1.399999999999999911e+00, 1.750000000000000000e+00
1.850136952439029203e+00, -1.072518845686514899e+00, 3.447999999999994125e-02, 1.399999999999999911e+00, 2.000000000000000000e+00
1.837507800249234657e+00, -1.010761966246856325e+00, 5.339210300918875163e-01, 1.399999999999999911e+00, 2.250000000000000000e+00
1.814734981953667781e+00, -8.013789032025377956e-01, 9.590127521775763109e-01, 1.399999999999999911e+00, 2.500000000000000000e+00
1.788522722478070648e+00, -4.490682257195809379e-01, 1.265010007614462140e+00, 1.399999999999999911e+00, 2.750000000000000000e+00
1.775530207903897484e+00, -9.424040495344486093e-17, 1.383520977958771825e+00, 1.399999999999999911e+00, 3.000000000000000000e+00
1.788522722478070204e+00, 4.490682257195806049e-01, 1.265010007614462140e+00, 1.399999999999999911e+00, 3.250000000000000000e+00
1.814734981953667337e+00, 8.013789032025373515e-01, 9.590127521775763109e-01, 1.399999999999999911e+00, 3.500000000000000000e+00
1.837507800249234435e+00, 1.010761966246856325e+00, 5.339210300918874053e-01, 1.399999999999999911e+00, 3.750000000000000000e+00
1.850136952439028981e+00, 1.072518845686514899e+00, 3.447999999999997595e-02, 1.399999999999999911e+00, 4.000000000000000000e+00
2.297691335298510218e+00, 1.201634425894854363e+00, 1.055200000000000304e-01, 1.600000000000000089e+00, 0.000000000000000000e+00
2.297265594770931063e+00, 1.111546816679018557e+00, -4.607285306228272592e-01, 1.600000000000000089e+00, 2.500000000000000000e-01
2.290623407200892192e+00, 8.642973284404327217e-01, -9.290152551521968505e-01, 1.600000000000000089e+00, 5.000000000000000000e-01
2.282333045870798660e+00, 4.796904323755651900e-01, -1.259171448610464372e+00, 1.600000000000000089e+00, 7.500000000000000000e-01
2.278208412386064197e+00, 1.798561299892755193e-17, -1.385297394162976925e+00, 1.600000000000000089e+00, 1.000000000000000000e+00
2.282333045870798660e+00, -4.796904323755651900e-01, -1.259171448610464150e+00, 1.600000000000000089e+00, 1.250000000000000000e+00
2.290623407200892192e+00, -8.642973284404327217e-01, -9.290152551521968505e-01, 1.600000000000000089e+00, 1.500000000000000000e+00
2.297265594770931063e+00, -1.111546816679018557e+00, -4.607285306228273702e-01, 1.600000000000000089e+00, 1.750000000000000000e+00
2.297691335298510662e+00, -1.201634425894854363e+00, 1.055200000000000304e-01, 1.600000000000000089e+00, 2.000000000000000000e+00
2.288908527681677185e+00, -1.123972470454775330e+00, 6.778565708708386151e-01, 1.600000000000000089e+00, 2.250000000000000000e+00
2.272984131217287818e+00, -8.823710066597152402e-01, 1.158128933371479263e+00, 1.600000000000000089e+00, 2.500000000000000000e+00
2.254861611651750586e+00, -4.921160861513219076e-01, 1.497924013843761060e+00, 1.600000000000000089e+00, 2.750000000000000000e+00
2.245931400130870337e+00, -5.568751201794466814e-17, 1.627791248687028292e+00, 1.600000000000000089e+00, 3.000000000000000000e+00
2.254861611651750586e+00, 4.921160861513217410e-01, 1.497924013843761282e+00, 1.600000000000000089e+00, 3.250000000000000000e+00
2.272984131217287818e+00, 8.823710066597150181e-01, 1.158128933371479263e+00, 1.600000000000000089e+00, 3.500000000000000000e+00
2.288908527681676741e+00, 1.123972470454775330e+00, 6.778565708708386151e-01, 1.600000000000000089e+00, 3.750000000000000000e+00
2.297691335298510218e+00, 1.201634425894854363e+00, 1.055200000000000304e-01, 1.600000000000000089e+00, 4.000000000000000000e+00
2.765207145438660419e+00, 1.321833337402129160e+00, 1.650400000000000200e-01, 1.800000000000000044e+00, 0.000000000000000000e+00
2.764701859105830994e+00, 1.221132571055376204e+00, -4.678759841381886497e-01, 1.800000000000000044e+00, 2.500000000000000000e-01
2.761745278981806440e+00, 9.435129963306095879e-01, -9.881597449299005520e-01, 1.800000000000000044e+00, 5.000000000000000000e-01
2.758334145289969008e+00, 5.217581640799537901e-01, -1.346851910455718615e+00, 1.800000000000000044e+00, 7.500000000000000000e-01
2.756690732323626492e+00, 3.375077994860476415e-17, -1.481143061435506114e+00, 1.800000000000000044e+00, 1.000000000000000000e+00
2.758334145289969008e+00, -5.217581640799539011e-01, -1.346851910455718393e+00, 1.800000000000000044e+00, 1.250000000000000000e+00
2.761745278981806440e+00, -9.435129963306096990e-01, -9.881597449299005520e-01, 1.800000000000000044e+00, 1.500000000000000000e+00
2.764701859105831439e+00, -1.221132571055376204e+00, -4.678759841381886497e-01, 1.800000000000000044e+00, 1.750000000000000000e+00
2.765207145438661307e+00, -1.321833337402129160e+00, 1.650400000000000200e-01, 1.800000000000000044e+00, 2.000000000000000000e+00
2.761916170076079258e+00, -1.225274455647294980e+00, 7.999853308875257696e-01, 1.800000000000000044e+00, 2.250000000000000000e+00
2.755865520320604833e+00, -9.495375557370372421e-01, 1.324264304336328024e+00, 1.800000000000000044e+00, 2.500000000000000000e+00
2.749177000550286909e+00, -5.259000486718728995e-01, 1.686169432200150808e+00, 1.800000000000000044e+00, 2.750000000000000000e+00
2.745931728238562020e+00, -1.142307938829633950e-17, 1.821707679610189867e+00, 1.800000000000000044e+00, 3.000000000000000000e+00
2.749177000550286909e+00, 5.259000486718726775e-01, 1.686169432200150808e+00, 1.800000000000000044e+00, 3.250000000000000000e+00
2.755865520320604833e+00, 9.495375557370371311e-01, 1.324264304336328024e+00, 1.800000000000000044e+00, 3.500000000000000000e+00
2.761916170076079258e+00, 1.225274455647294980e+00, 7.999853308875257696e-01, 1.800000000000000044e+00, 3.750000000000000000e+00
